play_session_id,user_id,start_datetime,end_datetime,channel_code,status_code,total_score,play_session_channel_code,english_description_x,french_description_x,play_session_status_code,english_description_y,french_description_y
0,309,2024-12-11T12:26:22.670-06:00,2024-12-11T17:01:22.670-06:00,BROWSER,COMPLETED,1081,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
1,179,2024-02-13T15:51:16.919-06:00,2024-02-13T22:17:16.919-06:00,MOBILE,ABORTED,4271,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
2,314,2024-08-21T10:56:25.744-06:00,2024-08-21T15:17:25.744-06:00,BROWSER,TIMEOUT,2634,BROWSER,Browser,Navigateur,TIMEOUT,Session timeout,Délai d'expiration de la session
3,492,2024-03-27T01:46:36.925-06:00,2024-03-27T10:05:36.925-06:00,MOBILE,ABORTED,3082,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
4,369,2024-08-25T22:29:23.179-06:00,2024-08-26T00:54:23.179-06:00,MOBILE,TIMEOUT,3995,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
5,59,2024-04-27T16:37:13.057-06:00,2024-04-27T23:33:13.057-06:00,MOBILE,TIMEOUT,3025,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
6,408,2024-12-15T19:41:46.635-06:00,2024-12-16T02:26:46.635-06:00,BROWSER,TIMEOUT,1295,BROWSER,Browser,Navigateur,TIMEOUT,Session timeout,Délai d'expiration de la session
7,358,2024-01-04T00:02:03.341-06:00,2024-01-04T08:28:03.341-06:00,MOBILE,ABORTED,154,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
8,391,2024-06-10T01:46:47.635-06:00,2024-06-10T06:05:47.635-06:00,MOBILE,ABORTED,255,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
9,360,2024-11-23T15:50:37.399-06:00,2024-11-23T22:32:37.399-06:00,MOBILE,TIMEOUT,2719,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
10,326,2024-10-02T17:07:20.528-06:00,2024-10-02T19:58:20.528-06:00,BROWSER,COMPLETED,730,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
11,431,2024-01-15T07:54:04.663-06:00,2024-01-15T14:50:04.663-06:00,MOBILE,TIMEOUT,4976,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
12,55,2024-12-08T02:01:05.524-06:00,2024-12-08T05:05:05.524-06:00,BROWSER,TIMEOUT,3892,BROWSER,Browser,Navigateur,TIMEOUT,Session timeout,Délai d'expiration de la session
13,62,2024-04-16T14:53:00.976-06:00,2024-04-16T15:09:00.976-06:00,MOBILE,TIMEOUT,3661,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
14,331,2024-01-26T19:20:26.408-06:00,2024-01-26T23:23:26.408-06:00,MOBILE,COMPLETED,168,MOBILE,Mobile application,Application mobile,COMPLETED,Session completed,Session terminée
15,201,2024-10-15T07:49:44.134-06:00,2024-10-15T15:42:44.134-06:00,MOBILE,TIMEOUT,3211,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
16,181,2024-08-19T10:01:17.003-06:00,2024-08-19T12:41:17.003-06:00,MOBILE,TIMEOUT,1154,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
17,205,2024-05-22T14:02:50.549-06:00,2024-05-22T18:07:50.549-06:00,BROWSER,TIMEOUT,3564,BROWSER,Browser,Navigateur,TIMEOUT,Session timeout,Délai d'expiration de la session
18,395,2024-09-11T01:21:13.873-06:00,2024-09-11T09:05:13.873-06:00,MOBILE,TIMEOUT,1015,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
19,101,2024-04-30T20:12:04.051-06:00,2024-05-01T04:06:04.051-06:00,BROWSER,COMPLETED,1856,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
20,178,2024-01-12T11:49:43.814-06:00,2024-01-12T19:45:43.814-06:00,BROWSER,ABORTED,4977,BROWSER,Browser,Navigateur,ABORTED,Session aborted,Session interrompue
21,305,2024-03-03T10:31:28.212-06:00,2024-03-03T15:44:28.212-06:00,BROWSER,COMPLETED,2542,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
22,261,2024-10-23T19:19:05.986-06:00,2024-10-23T19:56:05.986-06:00,MOBILE,TIMEOUT,4379,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
23,100,2024-02-17T14:54:32.328-06:00,2024-02-17T21:10:32.328-06:00,BROWSER,TIMEOUT,3643,BROWSER,Browser,Navigateur,TIMEOUT,Session timeout,Délai d'expiration de la session
24,173,2024-10-25T15:57:06.985-06:00,2024-10-25T23:28:06.985-06:00,MOBILE,ABORTED,761,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
25,66,2024-09-24T19:13:34.052-06:00,2024-09-24T21:16:34.052-06:00,BROWSER,COMPLETED,4793,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
26,252,2024-10-27T02:53:12.477-06:00,2024-10-27T05:05:12.477-06:00,BROWSER,TIMEOUT,1062,BROWSER,Browser,Navigateur,TIMEOUT,Session timeout,Délai d'expiration de la session
27,251,2024-01-24T12:32:13.510-06:00,2024-01-24T13:22:13.510-06:00,MOBILE,COMPLETED,235,MOBILE,Mobile application,Application mobile,COMPLETED,Session completed,Session terminée
28,105,2024-09-17T19:18:42.706-06:00,2024-09-18T05:16:42.706-06:00,MOBILE,ABORTED,4883,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
29,339,2024-12-20T09:22:19.560-06:00,2024-12-20T09:33:19.560-06:00,MOBILE,COMPLETED,680,MOBILE,Mobile application,Application mobile,COMPLETED,Session completed,Session terminée
30,306,2024-09-24T11:29:45.131-06:00,2024-09-24T20:35:45.131-06:00,BROWSER,COMPLETED,1825,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
31,287,2024-03-04T13:45:54.829-06:00,2024-03-04T22:00:54.829-06:00,MOBILE,TIMEOUT,2127,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
32,225,2024-06-18T09:19:02.225-06:00,2024-06-18T15:36:02.225-06:00,MOBILE,ABORTED,696,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
33,366,2024-06-29T21:50:16.268-06:00,2024-06-29T23:45:16.268-06:00,BROWSER,TIMEOUT,3614,BROWSER,Browser,Navigateur,TIMEOUT,Session timeout,Délai d'expiration de la session
34,391,2024-10-07T15:38:27.417-06:00,2024-10-07T20:46:27.417-06:00,MOBILE,TIMEOUT,2464,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
35,484,2024-07-03T05:53:55.400-06:00,2024-07-03T14:51:55.400-06:00,BROWSER,COMPLETED,2352,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
36,343,2024-11-11T23:24:40.268-06:00,2024-11-12T07:37:40.268-06:00,BROWSER,COMPLETED,872,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
37,145,2024-12-22T02:51:39.212-06:00,2024-12-22T08:19:39.212-06:00,BROWSER,COMPLETED,4952,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
38,132,2024-08-01T13:18:29.334-06:00,2024-08-01T18:12:29.334-06:00,BROWSER,COMPLETED,3750,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
39,156,2024-11-21T06:08:33.562-06:00,2024-11-21T08:44:33.562-06:00,MOBILE,ABORTED,2273,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
